creature_id,name,description,source_file,pet_value,max_age,body_size,gait_speed,lays_eggs,clutch_min,clutch_max,milkable,shearable,is_webber,is_nopain,is_noexert,is_nobreathe,is_extravision,is_trapavoid,is_mount,is_pack,is_wagon,combat_rating,economic_rating,biomes,creature_classes,is_aquatic,is_amphibious,is_prehistoric,is_animal_person,is_megabeast,is_semimegabeast,included_in_mod,exclusion_reason
AARDVARK,aardvark,"A small, nocturnal mammal.  It has a long tongue with which to eat insects.",creature_tropical_new.txt,50,MAXAGE:15:25,50000,585,False,0,0,False,False,False,False,False,False,False,False,False,False,False,36,28,SHRUBLAND_TROPICAL; SAVANNA_TROPICAL; GRASSLAND_TROPICAL,MAMMAL; GENERAL_POISON,False,False,False,False,False,False,True,
AARDVARK_MAN,aardvark man,A person with the head and tail of an aardvark.,creature_tropical_new.txt,50,MAXAGE:60:80,50000,293,False,0,0,False,False,False,False,False,False,False,False,False,False,False,39,28,SHRUBLAND_TROPICAL; SAVANNA_TROPICAL; GRASSLAND_TROPICAL,MAMMAL; GENERAL_POISON,False,False,False,True,False,False,False,ANIMAL_PERSON_ID: creature ID 'AARDVARK_MAN' ends with _MAN or _WOMAN
ADDER,adder,A tiny snake with ridged scales and a powerful venomous bite.,creature_temperate_new.txt,50,MAXAGE:15:20,150,1755,True,3,10,False,False,False,False,False,False,False,False,False,False,False,2,31,GRASSLAND_TEMPERATE; SAVANNA_TEMPERATE; SHRUBLAND_TEMPERATE; ANY_TEMPERATE_FOREST; ANY_TEMPERATE_WETLAND,POISONOUS; GENERAL_POISON,False,False,False,False,False,False,True,
ADDER_MAN,adder man,A large adder with the torso and arms of a man.,creature_temperate_new.txt,50,MAXAGE:60:80,150,439,True,3,10,False,False,False,False,False,False,False,False,False,False,False,12,31,GRASSLAND_TEMPERATE; SAVANNA_TEMPERATE; SHRUBLAND_TEMPERATE; ANY_TEMPERATE_FOREST; ANY_TEMPERATE_WETLAND,POISONOUS; GENERAL_POISON,False,False,False,True,False,False,False,ANIMAL_PERSON_ID: creature ID 'ADDER_MAN' ends with _MAN or _WOMAN
ALBATROSS_MAN,albatross man,A person with the head and wings of an albatross.,creature_birds_new.txt,10,MAXAGE:60:80,8000,251,True,1,1,False,False,False,False,False,False,False,False,False,False,False,32,37,ANY_OCEAN,GENERAL_POISON,False,False,False,True,False,False,False,ANIMAL_PERSON_ID: creature ID 'ALBATROSS_MAN' ends with _MAN or _WOMAN
ALLIGATOR,alligator,"A huge reptile, found in rivers and marshlands.  It is an ambush predator, solitary and territorial.",creature_large_temperate.txt,650,MAXAGE:60:100,400000,488,True,10,30,False,False,False,False,False,False,False,False,False,False,False,46,70,SWAMP_TEMPERATE_FRESHWATER; MARSH_TEMPERATE_FRESHWATER; SWAMP_TROPICAL_FRESHWATER; MARSH_TROPICAL_FRESHWATER; RIVER_TEMPERATE_FRESHWATER; RIVER_TROPICAL_FRESHWATER; RIVER_TEMPERATE_BRACKISHWATER; RIVER_TROPICAL_BRACKISHWATER,GENERAL_POISON,False,True,False,False,False,False,True,
ALLIGATOR SNAPPING TURTLE,alligator snapping turtle,"A large reptile with a thick ridged shell.  It has been known to consume snakes and smaller turtles, and its bite can amputate fingers.",creature_riverlakepool_new.txt,25,MAXAGE:30:70,80000,366,True,5,10,False,False,False,False,False,False,False,False,False,False,False,40,45,RIVER_TEMPERATE_FRESHWATER; RIVER_TEMPERATE_BRACKISHWATER; LAKE_TEMPERATE_FRESHWATER; LAKE_TEMPERATE_BRACKISHWATER; POOL_TEMPERATE_FRESHWATER; POOL_TEMPERATE_BRACKISHWATER,GENERAL_POISON,False,True,False,False,False,False,True,
ALLIGATOR_MAN,alligator man,A person with the head and tail of an alligator.,creature_large_temperate.txt,650,MAXAGE:60:80,400000,293,True,10,30,False,False,False,False,False,False,False,False,False,False,False,48,70,SWAMP_TEMPERATE_FRESHWATER; MARSH_TEMPERATE_FRESHWATER; SWAMP_TROPICAL_FRESHWATER; MARSH_TROPICAL_FRESHWATER; RIVER_TEMPERATE_FRESHWATER; RIVER_TROPICAL_FRESHWATER; RIVER_TEMPERATE_BRACKISHWATER; RIVER_TROPICAL_BRACKISHWATER,GENERAL_POISON,False,True,False,True,False,False,False,ANIMAL_PERSON_ID: creature ID 'ALLIGATOR_MAN' ends with _MAN or _WOMAN
ALPACA,alpaca,A large domestic animal with a long neck.  It has been bred for its valuable hair.,creature_domestic.txt,200,MAXAGE:10:20,70000,293,False,0,0,True,True,False,False,False,False,False,False,False,False,False,41,64,,MAMMAL; GENERAL_POISON,False,False,False,False,False,False,True,
AMPHIBIAN_MAN,amphibian man,These evil creatures resemble walking frogs with arms and the intelligence to use them.  They live in the waters far under the earth.,creature_subterranean.txt,,MAXAGE:60:80,20000,293,False,0,0,False,False,False,False,False,False,False,False,False,False,False,35,34,SUBTERRANEAN_WATER,GENERAL_POISON,False,True,False,True,False,False,False,ANIMAL_PERSON_ID: creature ID 'AMPHIBIAN_MAN' ends with _MAN or _WOMAN
